WARNING | 2021-12-02 01:06:48,732 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_mh_context
WARNING | 2021-12-02 01:06:48,732 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_maildir_record
WARNING | 2021-12-02 01:06:48,732 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_imaps_record
WARNING | 2021-12-02 01:06:48,732 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_c_tab
WARNING | 2021-12-02 01:06:48,733 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_smtps_record
WARNING | 2021-12-02 01:06:48,733 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_nntp_record
WARNING | 2021-12-02 01:06:48,733 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_smtp_record
WARNING | 2021-12-02 01:06:48,733 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_pops_record
WARNING | 2021-12-02 01:06:48,733 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_mh_record
WARNING | 2021-12-02 01:06:48,733 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_prog_record
WARNING | 2021-12-02 01:06:48,733 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_strin
WARNING | 2021-12-02 01:06:48,733 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_pop_record
WARNING | 2021-12-02 01:06:48,733 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_mh_profile
WARNING | 2021-12-02 01:06:48,733 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_program_name
WARNING | 2021-12-02 01:06:48,734 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_sendmail_record
WARNING | 2021-12-02 01:06:48,734 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_mbox_record
WARNING | 2021-12-02 01:06:48,734 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_imap_record
WARNING | 2021-12-02 01:06:48,734 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_strerr
WARNING | 2021-12-02 01:06:48,734 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_strout
WARNING | 2021-12-02 01:06:48,734 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_version_copyright
WARNING | 2021-12-02 01:06:48,740 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
ERROR   | 2021-12-02 01:20:01,880 | root     | b'out of memory'
ERROR   | 2021-12-02 01:20:01,881 | root     | got an error while analyzing opt_init
ERROR   | 2021-12-02 01:20:03,845 | root     | list index out of range
ERROR   | 2021-12-02 01:20:03,846 | root     | got an error while analyzing mh_getopt_ext
ERROR   | 2021-12-02 01:20:05,832 | root     | list index out of range
ERROR   | 2021-12-02 01:20:05,832 | root     | got an error while analyzing mh_getopt
ERROR   | 2021-12-02 01:20:07,910 | root     | b'out of memory'
ERROR   | 2021-12-02 01:20:07,910 | root     | got an error while analyzing mh_opt_notimpl
ERROR   | 2021-12-02 01:20:10,010 | root     | b'out of memory'
ERROR   | 2021-12-02 01:20:10,010 | root     | got an error while analyzing mh_opt_notimpl_warning
ERROR   | 2021-12-02 01:20:12,123 | root     | b'out of memory'
ERROR   | 2021-12-02 01:20:12,124 | root     | got an error while analyzing mh_opt_clear_string
ERROR   | 2021-12-02 01:20:14,239 | root     | b'out of memory'
ERROR   | 2021-12-02 01:20:14,239 | root     | got an error while analyzing mh_opt_find_file
ERROR   | 2021-12-02 01:20:16,367 | root     | b'out of memory'
ERROR   | 2021-12-02 01:20:16,368 | root     | got an error while analyzing mh_opt_read_formfile
ERROR   | 2021-12-02 01:20:18,496 | root     | b'out of memory'
ERROR   | 2021-12-02 01:20:18,496 | root     | got an error while analyzing mh_opt_parse_formfile
ERROR   | 2021-12-02 01:20:20,634 | root     | b'out of memory'
ERROR   | 2021-12-02 01:20:20,634 | root     | got an error while analyzing mh_opt_parse_format
ERROR   | 2021-12-02 01:20:23,255 | root     | list index out of range
ERROR   | 2021-12-02 01:20:23,258 | root     | got an error while analyzing mh_read_property_file
ERROR   | 2021-12-02 01:20:42,483 | root     | b'out of memory'
ERROR   | 2021-12-02 01:20:42,483 | root     | got an error while analyzing mh_property_merge
ERROR   | 2021-12-02 01:20:44,769 | root     | b'out of memory'
ERROR   | 2021-12-02 01:20:44,769 | root     | got an error while analyzing mh_read_profile
ERROR   | 2021-12-02 01:20:49,282 | root     | list index out of range
ERROR   | 2021-12-02 01:20:49,282 | root     | got an error while analyzing mh_set_current_folder
ERROR   | 2021-12-02 01:20:51,484 | root     | list index out of range
ERROR   | 2021-12-02 01:20:51,485 | root     | got an error while analyzing mh_mailbox_get_property
ERROR   | 2021-12-02 01:20:53,716 | root     | list index out of range
ERROR   | 2021-12-02 01:20:53,716 | root     | got an error while analyzing mh_global_sequences_drop
ERROR   | 2021-12-02 01:20:55,957 | root     | list index out of range
ERROR   | 2021-12-02 01:20:55,957 | root     | got an error while analyzing mh_global_sequences_get
ERROR   | 2021-12-02 01:20:58,193 | root     | list index out of range
ERROR   | 2021-12-02 01:20:58,194 | root     | got an error while analyzing mh_global_sequences_set
ERROR   | 2021-12-02 01:21:00,439 | root     | list index out of range
ERROR   | 2021-12-02 01:21:00,439 | root     | got an error while analyzing mh_global_sequences_iterate
ERROR   | 2021-12-02 01:21:02,708 | root     | list index out of range
ERROR   | 2021-12-02 01:21:02,709 | root     | got an error while analyzing mh_global_save_state
ERROR   | 2021-12-02 01:21:05,006 | root     | b'out of memory'
ERROR   | 2021-12-02 01:21:05,007 | root     | got an error while analyzing mu_prstr
timeout: the monitored command dumped core
Segmentation fault
